,col_1,col_2
0,1.jpg,[6.4440384 4.5506616]
1,2.jpg,[1.1469138]
2,3.jpg,[10.858184   1.8939587]
3,4.jpg,[1.3433561]
4,5.jpg,[4.0548067 3.643332 ]
5,6.jpg,[1.6134953 1.3834136]
6,7.jpg,[1.1416332 1.0560409]
7,8.jpg,[1.3543999 1.3328804]
8,9.jpg,[3.899356  2.8384886]
9,10.jpg,[1.853184  1.4516684]
10,11.jpg,[1.957837]
11,12.jpg,[6.723159  3.7002285]
12,13.jpg,[1.2796072 1.002992 ]
13,14.jpg,[5.7735386 4.7811685]
14,15.jpg,[1.2671677]
15,16.jpg,[3.5926695 2.5263283]
16,17.jpg,[4.6481442 3.3609385]
17,18.jpg,[2.6753955 2.3855357]
18,19.jpg,[1.999639  1.7796378]
19,20.jpg,[2.8565707 1.7355664]
20,21.jpg,[2.277424]
21,22.jpg,[7.7164903 1.7925141 1.6913311]
22,23.jpg,[2.9705358 1.3386853]
23,24.jpg,[11.501857  6.161056  4.650594]
24,25.jpg,[2.1477413 1.8720856 1.0026915]
25,26.jpg,[2.36244  1.044619]
26,27.jpg,[3.101365  2.5340838 1.1827534]
27,28.jpg,[2.607761  2.2573435 2.0668633 1.2231467]
28,29.jpg,[2.0776913 1.790001  1.3780115]
29,30.jpg,[2.3806932 1.5584767]
30,31.jpg,[2.8033385 1.6224625 1.5582916 1.3052474]
31,32.jpg,[1.3824159 1.0476043]
32,33.jpg,[1.8138185 1.1201826]
33,34.jpg,[3.5418615 2.099819 ]
34,35.jpg,[2.8368893]
35,36.jpg,[3.1677353 2.6598473 1.4770766]
36,37.jpg,[2.2768223 2.255418 ]
37,38.jpg,[4.5354376 2.9836602]
38,39.jpg,[9.592748  3.3889034]
39,40.jpg,[1.8076677 1.7427111]
40,41.jpg,[2.33125   2.0716689 1.3674916]
41,42.jpg,[6.023845  1.9217469 1.4367237]
42,43.jpg,[1.4347222 1.1760113 1.0660515]
43,44.jpg,[3.3777661 2.1686244 1.0917548]
44,45.jpg,[6.2293777 6.033183 ]
45,46.jpg,[4.511826  4.4253798]
46,47.jpg,[1.8700414 1.4625831 1.0128332]
47,48.jpg,[2.6710186 2.2967546 1.3930359]
48,49.jpg,[3.2491193 2.3671668]
49,50.jpg,[2.1232653 1.6114997 1.0656612]
50,51.jpg,[2.279506  1.4605304 1.1586561]
51,52.jpg,[2.3713322 2.2059574]
52,53.jpg,[1.8733041 1.6884476]
53,54.jpg,[9.891543  2.4992046]
54,55.jpg,[1.1488627]
55,56.jpg,[2.4082663 1.3894131 1.1515828]
56,57.jpg,[1.4969947 1.4798416 1.3174913 1.2401992]
57,58.jpg,[3.2556415 1.6216544]
58,59.jpg,[5.5891514 5.2533755]
59,60.jpg,[3.0355058 2.2649024]
60,61.jpg,[2.1625996 1.7355103]
61,62.jpg,[1.2939801]
62,63.jpg,[2.060064]
63,64.jpg,[4.943246  2.1632907]
64,65.jpg,[2.7591794 2.3127506]
65,66.jpg,[1.3422275]
66,67.jpg,[3.3271735 2.3301537 1.6120147]
67,68.jpg,[10.507079  7.45466 ]
68,69.jpg,[4.4835773 1.2998589]
69,70.jpg,[4.158574  3.362336  1.8522108]
70,71.jpg,[3.4494333 2.7738128]
71,72.jpg,[7.122834  2.4400582]
72,73.jpg,[2.2482603 1.7119793 1.6472981]
73,74.jpg,[1.8382225 1.7474287]
74,75.jpg,[3.5713658 3.0369275]
75,76.jpg,[2.409894]
76,77.jpg,[2.2717798 1.8196096]
77,78.jpg,[3.05265   1.6903292]
78,79.jpg,[3.0955925 2.1669965 1.2158052]
79,80.jpg,[2.619798  1.7276115]
80,81.jpg,[2.9026256 2.0728672 1.82638  ]
81,82.jpg,[1.4002717 1.0524224]
82,83.jpg,[1.5847852]
83,84.jpg,[3.123398 1.68378 ]
84,85.jpg,[2.400991  2.3222919]
85,86.jpg,[3.8929603 3.5371442 1.5070815]
86,87.jpg,[1.3111852 1.3053603]
87,88.jpg,[2.1897876 1.4436083]
88,89.jpg,[1.6050715]
89,90.jpg,[3.540845]
90,91.jpg,[4.050647  3.2248833]
91,92.jpg,[2.720962  1.7043631]
92,93.jpg,[2.2064648 1.7936561 1.170953 ]
93,94.jpg,[1.2342336]
94,95.jpg,[4.4768496 4.3800974 1.9692425]
95,96.jpg,[1.1896724]
96,97.jpg,[6.945602 4.97244 ]
97,98.jpg,[15.083675  7.014615]
98,99.jpg,[4.3266582 4.166162  1.8957082]
99,100.jpg,[32.79679    3.8849766]
100,101.jpg,[2.0191479 1.9328154]
101,102.jpg,[2.1005301 1.8031399 1.0685704]
102,103.jpg,[2.5709248 1.2718062 1.172646 ]
103,104.jpg,[3.173676  2.6438015 1.5051867 1.2828163]
104,105.jpg,[4.8026123 3.814717 ]
105,106.jpg,[6.538502  1.8313261]
106,107.jpg,[3.4337099 1.1631058]
107,108.jpg,[1.3086972]
108,109.jpg,[3.4259949 2.3681498]
109,110.jpg,[3.5727463 2.811534 ]
110,111.jpg,[13.214949 12.997641]
111,112.jpg,[1.2620468]
112,113.jpg,[2.4726076 1.5531278]
113,114.jpg,[1.2597185]
